CASRN,SMILES
13356-08-6,CC(C)(C[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)O[Sn](CC(C)(C)C1=CC=CC=C1)(CC(C)(C)C1=CC=CC=C1)CC(C)(C)C1=CC=CC=C1)C1=CC=CC=C1
66441-23-4,CCOC(=O)C(C)OC1=CC=C(OC2=NC3=C(O2)C=C(Cl)C=C3)C=C1
72490-01-8,CCOC(=O)NCCOC1=CC=C(OC2=CC=CC=C2)C=C1
131341-86-1,FC1(F)OC2=CC=CC(=C2O1)C1=CNC=C1C#N
25311-71-1,CCOP(=S)(NC(C)C)OC1=CC=CC=C1C(=O)OC(C)C
132-66-1,OC(=O)C1=C(C=CC=C1)C(=O)NC1=CC=CC2=C1C=CC=C2
138261-41-3,[O-][N+](=O)\N=C1/NCCN1CC1=CN=C(Cl)C=C1
298-02-2,CCOP(=S)(OCC)SCSCC
86209-51-0,COC(=O)C1=C(C=CC=C1)S(=O)(=O)NC(=O)NC1=NC(OC(F)F)=CC(OC(F)F)=N1
41198-08-7,CCCSP(=O)(OCC)OC1=C(Cl)C=C(Br)C=C1
31218-83-4,CCNP(=S)(OC)O\C(C)=C\C(=O)OC(C)C
1982-49-6,CC1CCCCC1NC(=O)NC1=CC=CC=C1
3383-96-8,COP(=S)(OC)OC1=CC=C(SC2=CC=C(OP(=S)(OC)OC)C=C2)C=C1
55219-65-3,CC(C)(C)C(O)C(OC1=CC=C(Cl)C=C1)N1C=NC=N1
68694-11-1,CCCOC\C(=N/C1=C(C=C(Cl)C=C1)C(F)(F)F)N1C=CN=C1
126535-15-7,COC(=O)C1=C(C(C)=CC=C1)S(=O)(=O)NC(=O)NC1=NC(=NC(OCC(F)(F)F)=N1)N(C)C
83657-22-1,CC(C)(C)C(O)C(=C/C1=CC=C(Cl)C=C1)\N1C=NC=N1
56073-10-0,OC1=C(C2CC(CC3=CC=CC=C23)C2=CC=C(C=C2)C2=CC=C(Br)C=C2)C(=O)OC2=CC=CC=C12
116255-48-2,ClC1=CC(Cl)=C(C=C1)C1(CN2C=NC=N2)CC(Br)CO1
2536-31-4,COC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=C(Cl)C=C2
39515-40-7,CC(C)=CC1C(C(=O)OC(C#N)C2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C
38727-55-8,CCOC(=O)CN(C(=O)CCl)C1=C(CC)C=CC=C1CC
2593-15-9,CCOC1=NC(=NS1)C(Cl)(Cl)Cl
114369-43-6,ClC1=CC=C(CCC(CN2C=NC=N2)(C#N)C2=CC=CC=C2)C=C1
79622-59-6,[O-][N+](=O)C1=CC(=C(Cl)C(=C1NC1=C(Cl)C=C(C=N1)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
103361-09-7,FC1=CC2=C(C=C1N1C(=O)C3=C(CCCC3)C1=O)N(CC#C)C(=O)CO2
134098-61-6,CN1N=C(C)C(\C=N\OCC2=CC=C(C=C2)C(=O)OC(C)(C)C)=C1OC1=CC=CC=C1
91465-08-6,CC1(C)[C@@H](\C=C(/Cl)C(F)(F)F)[C@H]1C(=O)O[C@H](C#N)C1=CC=CC(OC2=CC=CC=C2)=C1
23103-98-2,CN(C)C(=O)OC1=C(C)C(C)=NC(=N1)N(C)C
96489-71-3,CC(C)(C)N1N=CC(SCC2=CC=C(C=C2)C(C)(C)C)=C(Cl)C1=O
79538-32-2,CC1=C(F)C(F)=C(COC(=O)C2C(\C=C(/Cl)C(F)(F)F)C2(C)C)C(F)=C1F
59669-26-0,CS\C(C)=N\OC(=O)N(C)SN(C)C(=O)O\N=C(/C)SC
28772-56-7,OC(CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2)C1=CC=C(C=C1)C1=CC=C(Br)C=C1
63333-35-7,CN(C1=C(Br)C=C(Br)C=C1Br)C1=C(C=C(C=C1[N+]([O-])=O)[N+]([O-])=O)C(F)(F)F
94361-06-5,CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1
80844-07-1,CCOC1=CC=C(C=C1)C(C)(C)COCC1=CC(OC2=CC=CC=C2)=CC=C1
13194-48-4,CCCSP(=O)(OCC)SCCC
122-14-5,COP(=S)(OC)OC1=CC=C(C(C)=C1)[N+]([O-])=O
33245-39-5,CCCN(CCCl)C1=C(C=C(C=C1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
98967-40-9,CC1=NC2=NC(=NN2C=C1)S(=O)(=O)NC1=C(F)C=CC=C1F
